web-scraper-order,web-scraper-start-url,title,date,time,type,inPerson,link
1684188221-1,https://build.microsoft.com/en-US/sessions,2023 Imagine Cup World Championship,"Tuesday, May 23
11:43 AM - 11:57 AM Eastern Daylight Time",11:43 AM - 11:57 AM Eastern Daylight Time,Interview,DigitalIn-Person,/en-US/sessions/e1a04275-7abd-4d9a-907a-8899b685e40e?source=sessions
1684188221-2,https://build.microsoft.com/en-US/sessions,Microsoft Build opening,"Tuesday, May 23
12:00 PM - 12:15 PM Eastern Daylight Time",12:00 PM - 12:15 PM Eastern Daylight Time,Keynote,DigitalIn-Person,/en-US/sessions/49e81029-20f0-485b-b641-73b7f9622656?source=sessions
1684188221-3,https://build.microsoft.com/en-US/sessions,The era of the AI Copilot,"Tuesday, May 23
12:15 PM - 1:00 PM Eastern Daylight Time",12:15 PM - 1:00 PM Eastern Daylight Time,Keynote,DigitalIn-Person,/en-US/sessions/bb8f9d99-0c47-404f-8212-a85fffd3a59d?source=sessions
1684188221-4,https://build.microsoft.com/en-US/sessions,Next generation AI for developers with the Microsoft Cloud,"Tuesday, May 23
1:00 PM - 2:00 PM Eastern Daylight Time",1:00 PM - 2:00 PM Eastern Daylight Time,Keynote,DigitalIn-Person,/en-US/sessions/b1445158-aff5-44e8-b336-e1550770f028?source=sessions
1684188221-5,https://build.microsoft.com/en-US/sessions,Cloud-native development with .NET 8,"Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/92aa8923-2720-49a4-81a3-d117f08488fe?source=sessions
1684188221-6,https://build.microsoft.com/en-US/sessions,Getting started with generative AI using Azure OpenAI Service,"Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/27c0f55d-9c02-4003-bfb3-7e077a12fea2?source=sessions
1684188221-7,https://build.microsoft.com/en-US/sessions,How to build next-gen AI services with NVIDIA AI on Azure Cloud,"Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Breakout,Digital,/en-US/sessions/333590ed-ccbe-4358-a862-27c76fe8105e?source=sessions
1684188221-8,https://build.microsoft.com/en-US/sessions,Inject the power of the cloud and AI into your development workflow,"Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/01f6a7ae-d371-43d5-9e6c-9ed2cf853d94?source=sessions
1684188221-9,https://build.microsoft.com/en-US/sessions,Secure and observe your APIs no matter where they run,"Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/d07b6555-129a-478f-9c4f-ff2f5260557b?source=sessions
1684188221-10,https://build.microsoft.com/en-US/sessions,Securing container deployments on Azure Kubernetes Service with open-source tools,"Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/0301c5a0-34cb-4a5b-ac0f-164b2d4191fa?source=sessions
1684188221-11,https://build.microsoft.com/en-US/sessions,"Achieve more with Azure PaaS: Azure App Service product experts, Q&A","Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/0eca91c3-f7f4-477e-ba6a-d7d0e9b4b95d?source=sessions
1684188221-12,https://build.microsoft.com/en-US/sessions,"Build scalable and secure enterprise apps on OSS databases, Q&A","Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/6a8c5273-b43f-4867-adfc-aef849633214?source=sessions
1684188221-13,https://build.microsoft.com/en-US/sessions,"LEADTOOLS Low-Code Document Viewer, Editor and Medical Viewer Controls","Tuesday, May 23
2:30 PM - 2:45 PM Eastern Daylight Time",2:30 PM - 2:45 PM Eastern Daylight Time,Discussion,Digital,/en-US/sessions/71a61019-ea68-4d64-9c96-6efaea36357a?source=sessions
1684188221-14,https://build.microsoft.com/en-US/sessions,Learn Live: Build a bot and Teams tab app with Teams Toolkit for Visual Studio Code,"Tuesday, May 23
2:30 PM - 3:30 PM Eastern Daylight Time",2:30 PM - 3:30 PM Eastern Daylight Time,Discussion,Digital,/en-US/sessions/2d0bc66d-0c6b-4afe-956c-77df6988241f?source=sessions
1684188221-15,https://build.microsoft.com/en-US/sessions,"News from around Microsoft Graph, Q&A","Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/96701d41-44e4-40ea-a04e-5d5732705e6c?source=sessions
1684188221-16,https://build.microsoft.com/en-US/sessions,"Qualcomm Technologies and the power of Windows AI, Q&A","Tuesday, May 23
2:30 PM - 3:15 PM Eastern Daylight Time",2:30 PM - 3:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/7f2b3618-36d1-4514-a7bf-78f655bcd7ab?source=sessions
1684188221-17,https://build.microsoft.com/en-US/sessions,State of the Art Data Retrieval with Machine Learning & Elasticsearch,"Tuesday, May 23
2:30 PM - 3:00 PM Eastern Daylight Time",2:30 PM - 3:00 PM Eastern Daylight Time,Discussion,Digital,/en-US/sessions/4798a437-8a14-40b9-88b6-b165e0916e1e?source=sessions
1684188221-18,https://build.microsoft.com/en-US/sessions,Deploy a Teams app to Azure using Microsoft Teams Toolkit for VS Code,"Tuesday, May 23
2:30 PM - 3:30 PM Eastern Daylight Time
Limited space",2:30 PM - 3:30 PM Eastern Daylight Time,Lab,In-Person,/en-US/sessions/83150524-082e-48fb-8a3d-025bbefb7b4b?source=sessions
1684188221-19,https://build.microsoft.com/en-US/sessions,Interactive tutorial: Automated cloud application testing,"Tuesday, May 23
2:30 PM - 3:30 PM Eastern Daylight Time
Limited space",2:30 PM - 3:30 PM Eastern Daylight Time,Lab,In-Person,/en-US/sessions/f89af536-4aca-47a3-be89-7109cb5ee89b?source=sessions
1684188221-20,https://build.microsoft.com/en-US/sessions,Progressive Web Apps for beginners,"Tuesday, May 23
2:30 PM - 3:30 PM Eastern Daylight Time
Limited space",2:30 PM - 3:30 PM Eastern Daylight Time,Lab,In-Person,/en-US/sessions/e9d400c5-cb64-4ba2-a949-72258436190f?source=sessions
1684188221-21,https://build.microsoft.com/en-US/sessions,Taking Azure Kubernetes Service out of the cloud and into your world,"Tuesday, May 23
2:30 PM - 3:30 PM Eastern Daylight Time
Limited space",2:30 PM - 3:30 PM Eastern Daylight Time,Lab,In-Person,/en-US/sessions/f279ef86-024e-4747-a3b9-a1f357b0d480?source=sessions
1684188221-22,https://build.microsoft.com/en-US/sessions,CI/CD for the enterprise with GitHub Actions,"Tuesday, May 23
2:30 PM - 2:45 PM Eastern Daylight Time",2:30 PM - 2:45 PM Eastern Daylight Time,Demo,In-Person,/en-US/sessions/cd278f6c-9405-464e-9fe3-4d7f53bc18b8?source=sessions
1684188221-23,https://build.microsoft.com/en-US/sessions,Modernize MongoDB workloads with Azure Cosmos DB,"Tuesday, May 23
2:30 PM - 2:45 PM Eastern Daylight Time",2:30 PM - 2:45 PM Eastern Daylight Time,Demo,In-Person,/en-US/sessions/7e40508e-e8bc-4541-bf36-9828230b6e5d?source=sessions
1684188221-24,https://build.microsoft.com/en-US/sessions,Kusto detective agency Q&A,"Tuesday, May 23
2:30 PM - 3:30 PM Eastern Daylight Time
Limited space",2:30 PM - 3:30 PM Eastern Daylight Time,Product Roundtable,Digital,/en-US/sessions/b8f31978-65d1-4999-8ab8-d745a912510d?source=sessions
1684188221-25,https://build.microsoft.com/en-US/sessions,Modernizing high volume customer communications platforms,"Tuesday, May 23
2:30 PM - 3:30 PM Eastern Daylight Time
Limited space",2:30 PM - 3:30 PM Eastern Daylight Time,Product Roundtable,Digital,/en-US/sessions/83f1fe5b-b4d7-4807-966d-de2b843ddb32?source=sessions
1684188221-26,https://build.microsoft.com/en-US/sessions,Native Authentication for Customer-Facing Applications,"Tuesday, May 23
2:30 PM - 3:30 PM Eastern Daylight Time
Limited space",2:30 PM - 3:30 PM Eastern Daylight Time,Product Roundtable,Digital,/en-US/sessions/38005b5e-bec6-4237-96e0-313ffe9d9bc7?source=sessions
1684188221-27,https://build.microsoft.com/en-US/sessions,The future of edge solutions in manufacturing,"Tuesday, May 23
2:30 PM - 3:30 PM Eastern Daylight Time
Limited space",2:30 PM - 3:30 PM Eastern Daylight Time,Product Roundtable,Digital,/en-US/sessions/3b72fb71-8cc2-4f7c-b1a9-7dcd0e7ca238?source=sessions
1684188221-28,https://build.microsoft.com/en-US/sessions,Windows Hybrid Apps - Developing for the cloud-first future,"Tuesday, May 23
2:30 PM - 3:30 PM Eastern Daylight Time
Limited space",2:30 PM - 3:30 PM Eastern Daylight Time,Product Roundtable,Digital,/en-US/sessions/29c9018d-5479-44fe-afac-fe1c05c6df56?source=sessions
1684188221-29,https://build.microsoft.com/en-US/sessions,Build next gen intelligent retail with Azure OpenAI & Azure Cosmos DB,"Tuesday, May 23
2:45 PM - 3:00 PM Eastern Daylight Time",2:45 PM - 3:00 PM Eastern Daylight Time,Demo,In-Person,/en-US/sessions/8e5f1b28-175d-4353-b6f1-7521a448ac90?source=sessions
1684188221-30,https://build.microsoft.com/en-US/sessions,Secure your app using Azure Redis Cache with Azure AD AuthN and AuthZ,"Tuesday, May 23
2:45 PM - 3:00 PM Eastern Daylight Time",2:45 PM - 3:00 PM Eastern Daylight Time,Demo,In-Person,/en-US/sessions/c52fc8c3-171c-4b00-9be9-50da8f96a627?source=sessions
1684188221-31,https://build.microsoft.com/en-US/sessions,Build the next big thing with MongoDB Atlas on Microsoft Azure,"Tuesday, May 23
3:00 PM - 3:15 PM Eastern Daylight Time",3:00 PM - 3:15 PM Eastern Daylight Time,Demo,In-Person,/en-US/sessions/a77c16da-a317-40bc-be20-5d2e39f02bdc?source=sessions
1684188221-32,https://build.microsoft.com/en-US/sessions,"Synthetic monitoring optimized for developers, GitOps, and DevOps","Tuesday, May 23
3:00 PM - 3:15 PM Eastern Daylight Time",3:00 PM - 3:15 PM Eastern Daylight Time,Demo,In-Person,/en-US/sessions/1e0c7076-4ea3-4768-be02-a2e1eb7943f6?source=sessions
1684188221-33,https://build.microsoft.com/en-US/sessions,".NET languages, Q&A","Tuesday, May 23
3:30 PM - 4:15 PM Eastern Daylight Time",3:30 PM - 4:15 PM Eastern Daylight Time,Discussion,In-Person,/en-US/sessions/d17eb062-58dc-4b08-a798-21974061e890?source=sessions
1684188221-34,https://build.microsoft.com/en-US/sessions,"Azure Kubernetes Service: Past, present, and future, Q&A","Tuesday, May 23
3:30 PM - 4:15 PM Eastern Daylight Time",3:30 PM - 4:15 PM Eastern Daylight Time,Discussion,In-Person,/en-US/sessions/0d30150b-e4bf-420b-a664-67d79a88fa03?source=sessions
1684188221-35,https://build.microsoft.com/en-US/sessions,"Build, Customize, and Deploy LLMs At-Scale on Azure with NVIDIA NeMo","Tuesday, May 23
3:30 PM - 4:00 PM Eastern Daylight Time",3:30 PM - 4:00 PM Eastern Daylight Time,Discussion,Digital,/en-US/sessions/ddd2f9c9-9bde-47da-85f1-8328100cc65b?source=sessions
1684188221-36,https://build.microsoft.com/en-US/sessions,"Database capabilities you need for your next awesome app, Q&A","Tuesday, May 23
3:30 PM - 4:15 PM Eastern Daylight Time",3:30 PM - 4:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/94372ded-9820-4deb-afcf-0a4be8e0692f?source=sessions
1684188221-37,https://build.microsoft.com/en-US/sessions,"Developer career tools: Saying NO to improve mental health, Q&A","Tuesday, May 23
3:30 PM - 4:15 PM Eastern Daylight Time",3:30 PM - 4:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/58c48af9-bf0e-4b87-90d4-b47d6940d95e?source=sessions
1684188221-38,https://build.microsoft.com/en-US/sessions,GenAI for Knowledge: transform search of unstructured data with personality,"Tuesday, May 23
3:30 PM - 3:45 PM Eastern Daylight Time",3:30 PM - 3:45 PM Eastern Daylight Time,Discussion,Digital,/en-US/sessions/212ea181-17fe-49b8-81d6-83ede8933a44?source=sessions
1684188221-39,https://build.microsoft.com/en-US/sessions,"GitHub Advanced Security for Azure DevOps: Interactive deep dive, Q&A","Tuesday, May 23
3:30 PM - 4:15 PM Eastern Daylight Time",3:30 PM - 4:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/18a3ec79-476b-4bd6-b98d-2216e190b187?source=sessions
1684188221-40,https://build.microsoft.com/en-US/sessions,Learn Live: Introduction to Azure Arc-enabled Kubernetes,"Tuesday, May 23
3:30 PM - 4:30 PM Eastern Daylight Time",3:30 PM - 4:30 PM Eastern Daylight Time,Discussion,Digital,/en-US/sessions/4c1494ae-ec18-48db-b7f7-e21889a6da0f?source=sessions
1684188221-41,https://build.microsoft.com/en-US/sessions,"Meet the Microsoft Store client team, Q&A","Tuesday, May 23
3:30 PM - 4:15 PM Eastern Daylight Time",3:30 PM - 4:15 PM Eastern Daylight Time,Discussion,In-Person,/en-US/sessions/3e4ea095-fe0d-4b39-97b6-05184954f85e?source=sessions
1684188221-42,https://build.microsoft.com/en-US/sessions,The present and future of AI development: leading innovators Q&A,"Tuesday, May 23
3:30 PM - 4:15 PM Eastern Daylight Time",3:30 PM - 4:15 PM Eastern Daylight Time,Discussion,In-Person,/en-US/sessions/8ea2b96d-b286-4c34-84d6-5afda96db804?source=sessions
1684188221-43,https://build.microsoft.com/en-US/sessions,Intune support for .NET MAUI on Android,"Tuesday, May 23
3:30 PM - 4:30 PM Eastern Daylight Time
Limited space",3:30 PM - 4:30 PM Eastern Daylight Time,Product Roundtable,Digital,/en-US/sessions/f38d6830-97e3-4d21-8f07-214b682bdaa3?source=sessions
1684188221-44,https://build.microsoft.com/en-US/sessions,Optimizing Azure Cosmos DB: Strategies for cost efficiency and elasticity,"Tuesday, May 23
3:30 PM - 4:30 PM Eastern Daylight Time
Limited space",3:30 PM - 4:30 PM Eastern Daylight Time,Product Roundtable,Digital,/en-US/sessions/3a0d9f25-ecf3-48db-aba9-833c481d5a93?source=sessions
1684188221-45,https://build.microsoft.com/en-US/sessions,Using Azure to improve your organization’s sustainability posture,"Tuesday, May 23
3:30 PM - 4:30 PM Eastern Daylight Time
Limited space",3:30 PM - 4:30 PM Eastern Daylight Time,Product Roundtable,Digital,/en-US/sessions/db1e6353-664c-45ff-9ea7-30ee4ff6e5fa?source=sessions
1684188221-46,https://build.microsoft.com/en-US/sessions,Build and maintain your company Copilot with Azure ML and GPT-4,"Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/abe8f7cd-5aa1-4ee6-bb0d-f1aff17ba3c8?source=sessions
1684188221-47,https://build.microsoft.com/en-US/sessions,"Building and scaling cloud-native, intelligent applications on Azure","Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/8e651f72-eb45-4229-9eee-5eb97a4bb293?source=sessions
1684188221-48,https://build.microsoft.com/en-US/sessions,Develop in the cloud with Microsoft Dev Box,"Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/39061c2a-856d-4412-94fa-ffde1e418d6d?source=sessions
1684188221-49,https://build.microsoft.com/en-US/sessions,"Open, diverse solutions for global AI adoption","Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/ed8da978-ac27-4a0d-8974-82f15f429231?source=sessions
1684188221-50,https://build.microsoft.com/en-US/sessions,"What's new in .NET 8 for Web, frontends, backends, and futures?","Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/da223f08-abb2-4f38-87de-0856ffa22317?source=sessions
1684188221-51,https://build.microsoft.com/en-US/sessions,"AI for content: How Microsoft Learn is leveraging generative models, Q&A","Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Discussion,In-Person,/en-US/sessions/c07320fe-a309-43fd-8af3-25fa3bdb1cfb?source=sessions
1684188221-52,https://build.microsoft.com/en-US/sessions,Automated compliance testing tools for Microsoft 365 apps,"Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/7ca6439b-2b4d-4a41-b5bf-73c67177fb34?source=sessions
1684188221-53,https://build.microsoft.com/en-US/sessions,"Azure Cosmos DB for MongoDB: Choosing the right architecture, Q&A","Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/d0f2d888-a79d-42f9-a062-f9c334daca9f?source=sessions
1684188221-54,https://build.microsoft.com/en-US/sessions,"CBL-Mariner: A container host OS for Azure Kubernetes Service, Q&A","Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/e84dd80a-f3bb-4d3d-978e-ffd811e3bfe1?source=sessions
1684188221-55,https://build.microsoft.com/en-US/sessions,How leading AI companies 10x experimentation velocity with Statsig,"Tuesday, May 23
4:30 PM - 4:45 PM Eastern Daylight Time",4:30 PM - 4:45 PM Eastern Daylight Time,Discussion,Digital,/en-US/sessions/c3d2c385-58db-49c8-9575-299b7b6b7683?source=sessions
1684188221-56,https://build.microsoft.com/en-US/sessions,Learn Live: Model data for Azure Cosmos DB for PostgreSQL,"Tuesday, May 23
4:30 PM - 5:30 PM Eastern Daylight Time",4:30 PM - 5:30 PM Eastern Daylight Time,Discussion,Digital,/en-US/sessions/8036fabb-00b1-4fcf-bb61-6f2cc45c4008?source=sessions
1684188221-57,https://build.microsoft.com/en-US/sessions,Native apps for Windows on Snapdragon® compute platforms,"Tuesday, May 23
4:30 PM - 5:00 PM Eastern Daylight Time",4:30 PM - 5:00 PM Eastern Daylight Time,Discussion,Digital,/en-US/sessions/b5ff282c-6503-460a-8b03-ef652e3ef068?source=sessions
1684188221-58,https://build.microsoft.com/en-US/sessions,"Optimize your apps for Arm, Q&A","Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/4a5f9357-7e15-4a5f-ac33-3a5bae88684c?source=sessions
1684188221-59,https://build.microsoft.com/en-US/sessions,"Unlocking the Power of Azure Security: Conversations with Experts, Q&A","Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Discussion,In-Person,/en-US/sessions/6da00f4d-58a8-449e-9f00-cffb5c943bd2?source=sessions
1684188221-60,https://build.microsoft.com/en-US/sessions,"What's new in TypeScript, Q&A","Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Discussion,In-Person,/en-US/sessions/7fc31196-9b3a-4baa-aa2a-c6eabd9a9fe4?source=sessions
1684188221-61,https://build.microsoft.com/en-US/sessions,"Build flexible, intelligent apps with OSS on Microsoft Azure and GitHub Copilot","Tuesday, May 23
4:30 PM - 5:30 PM Eastern Daylight Time
Limited space",4:30 PM - 5:30 PM Eastern Daylight Time,Lab,In-Person,/en-US/sessions/0da2f92e-993a-46f7-b0f1-4fa39b0e0010?source=sessions
1684188221-62,https://build.microsoft.com/en-US/sessions,Skill up with Microsoft Power Platform and GitHub,"Tuesday, May 23
4:30 PM - 5:30 PM Eastern Daylight Time
Limited space",4:30 PM - 5:30 PM Eastern Daylight Time,Lab,In-Person,/en-US/sessions/6d2c85fe-7a40-404b-96da-0456169000e8?source=sessions
1684188221-63,https://build.microsoft.com/en-US/sessions,Supercharge your data retrieval and validation with ChatGPT,"Tuesday, May 23
4:30 PM - 5:30 PM Eastern Daylight Time
Limited space",4:30 PM - 5:30 PM Eastern Daylight Time,Lab,In-Person,/en-US/sessions/59eb2e8e-99d4-40b2-9e1e-c9474ef18a70?source=sessions
1684188221-64,https://build.microsoft.com/en-US/sessions,The ins and outs of securing your APIs,"Tuesday, May 23
4:30 PM - 5:30 PM Eastern Daylight Time
Limited space",4:30 PM - 5:30 PM Eastern Daylight Time,Lab,In-Person,/en-US/sessions/7f68daa8-0d99-4a66-a4e2-968b5c0042f5?source=sessions
1684188221-65,https://build.microsoft.com/en-US/sessions,Bring next-gen translation & language capabilities into your AI apps,"Tuesday, May 23
4:30 PM - 4:45 PM Eastern Daylight Time",4:30 PM - 4:45 PM Eastern Daylight Time,Demo,In-Person,/en-US/sessions/fe96907e-7d8d-4692-a9d7-65edb5189da0?source=sessions
1684188221-66,https://build.microsoft.com/en-US/sessions,Upgrade your .NET projects with Visual Studio,"Tuesday, May 23
4:30 PM - 4:45 PM Eastern Daylight Time",4:30 PM - 4:45 PM Eastern Daylight Time,Demo,In-Person,/en-US/sessions/67be8509-042c-4440-8c31-12d2b3f31304?source=sessions
1684188221-67,https://build.microsoft.com/en-US/sessions,Azure Synapse Data Explorer and Delta Lake Integration,"Tuesday, May 23
4:30 PM - 5:30 PM Eastern Daylight Time
Limited space",4:30 PM - 5:30 PM Eastern Daylight Time,Product Roundtable,Digital,/en-US/sessions/c22cf799-21f6-4eac-a059-af75b7c4f2a8?source=sessions
1684188221-68,https://build.microsoft.com/en-US/sessions,External Identities in Microsoft Entra: the future of creative brand experiences!,"Tuesday, May 23
4:30 PM - 5:30 PM Eastern Daylight Time
Limited space",4:30 PM - 5:30 PM Eastern Daylight Time,Product Roundtable,Digital,/en-US/sessions/969abe22-890e-4441-a478-be54b44f6295?source=sessions
1684188221-69,https://build.microsoft.com/en-US/sessions,Let's talk about running your apps anywhere with Azure Arc,"Tuesday, May 23
4:30 PM - 5:30 PM Eastern Daylight Time
Limited space",4:30 PM - 5:30 PM Eastern Daylight Time,Product Roundtable,Digital,/en-US/sessions/b8eb60bb-7c9f-450e-9581-0e3c4b96b38c?source=sessions
1684188221-70,https://build.microsoft.com/en-US/sessions,Fine-tune and deploy foundation models with Azure Machine Learning,"Tuesday, May 23
4:45 PM - 5:00 PM Eastern Daylight Time",4:45 PM - 5:00 PM Eastern Daylight Time,Demo,In-Person,/en-US/sessions/082f48f5-c70c-4b24-bc6c-d6f67c45ebf6?source=sessions
1684188221-71,https://build.microsoft.com/en-US/sessions,Upgrading from Xamarin to .NET MAUI,"Tuesday, May 23
4:45 PM - 5:00 PM Eastern Daylight Time",4:45 PM - 5:00 PM Eastern Daylight Time,Demo,In-Person,/en-US/sessions/4d6bc6e9-716a-4125-9a03-81853375a9f5?source=sessions
1684188221-72,https://build.microsoft.com/en-US/sessions,"Control a 3D printed robot with .NET, Raspberry Pi, SignalR, Blazor and Oculus Quest","Tuesday, May 23
5:00 PM - 5:15 PM Eastern Daylight Time",5:00 PM - 5:15 PM Eastern Daylight Time,Demo,In-Person,/en-US/sessions/49f44963-065c-4439-9196-aab85e13c65a?source=sessions
1684188221-73,https://build.microsoft.com/en-US/sessions,"Create a Document Viewer using LEADTOOLS AI-Driven, Low-Code Controls","Tuesday, May 23
5:00 PM - 5:15 PM Eastern Daylight Time",5:00 PM - 5:15 PM Eastern Daylight Time,Demo,In-Person,/en-US/sessions/2b0cc4ed-e0b7-4eb4-849e-616c319b9f7c?source=sessions
1684188221-74,https://build.microsoft.com/en-US/sessions,Accelerate development with Visual Studio and Microsoft Power Platform,"Tuesday, May 23
5:45 PM - 6:30 PM Eastern Daylight Time",5:45 PM - 6:30 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/a2154a8a-57fe-4717-af9a-bea7ec2b5e94?source=sessions
1684188221-75,https://build.microsoft.com/en-US/sessions,Self-serve app infrastructure using Azure Deployment Environments,"Tuesday, May 23
5:45 PM - 6:30 PM Eastern Daylight Time",5:45 PM - 6:30 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/e102bb71-f8ef-4538-9a59-158ec6f442b6?source=sessions
1684188221-76,https://build.microsoft.com/en-US/sessions,Ship-It safely with GitHub Advanced Security,"Tuesday, May 23
5:45 PM - 6:30 PM Eastern Daylight Time",5:45 PM - 6:30 PM Eastern Daylight Time,Breakout,DigitalIn-Person,/en-US/sessions/d9f50f96-5c71-479a-bb63-a46ff7489a7b?source=sessions
